size,sex,age,wt_pctl,weight,hr,lo,hi,e_val,e_val_lo
Large,Male,2.5,75,82.6,3.464,3.162,3.795,4.092,3.814
Giant,Male,2.5,75,125.2,2.498,2.159,2.889,3.155,2.789
Toy and Small,Female,3,75,12,1.920,1.787,2.062,2.512,2.352
Medium,Female,3,75,35.5,1.302,1.145,1.480,1.691,1.428
Standard,Female,3,75,58.05,1.619,1.476,1.775,2.138,1.946
Large,Female,3,75,70.1,1.944,1.775,2.128,2.540,2.337
Giant,Female,3,75,104,1.382,1.209,1.581,1.812,1.540
Toy and Small,Male,3,75,15,3.097,2.885,3.325,3.753,3.548
Medium,Male,3,75,38.7,2.222,1.959,2.521,2.859,2.559
Standard,Male,3,75,70,2.877,2.623,3.156,3.540,3.285
Large,Male,3,75,83.8,3.485,3.180,3.819,4.111,3.831
Giant,Male,3,75,127.9,2.519,2.171,2.922,3.177,2.802
Toy and Small,Female,3.5,75,12,1.924,1.801,2.055,2.517,2.368
Medium,Female,3.5,75,35.2,1.309,1.154,1.484,1.702,1.444
Standard,Female,3.5,75,58.225,1.622,1.484,1.774,2.142,1.956
Large,Female,3.5,75,70.85,1.950,1.787,2.128,2.548,2.351
Giant,Female,3.5,75,106.5375,1.391,1.217,1.590,1.824,1.554
Toy and Small,Male,3.5,75,15.05,3.100,2.903,3.310,3.755,3.565
Medium,Male,3.5,75,40.15,2.204,1.947,2.494,2.838,2.544
Standard,Male,3.5,75,70.5,2.886,2.637,3.157,3.548,3.300
Large,Male,3.5,75,84.4,3.496,3.199,3.820,4.121,3.849
Giant,Male,3.5,75,128.8125,2.528,2.180,2.931,3.187,2.812
Toy and Small,Female,4,75,12,1.924,1.805,2.052,2.517,2.373
Medium,Female,4,75,34.9,1.313,1.159,1.488,1.708,1.453
Standard,Female,4,75,58.4,1.623,1.484,1.774,2.143,1.957
Large,Female,4,75,71.6,1.953,1.790,2.130,2.551,2.355
Giant,Female,4,75,109.075,1.397,1.220,1.599,1.833,1.559
Toy and Small,Male,4,75,15.1,3.097,2.905,3.301,3.752,3.567
Medium,Male,4,75,41.6,2.183,1.930,2.471,2.816,2.524
Standard,Male,4,75,71,2.889,2.640,3.161,3.552,3.302
Large,Male,4,75,85,3.500,3.204,3.824,4.125,3.853
Giant,Male,4,75,129.725,2.532,2.182,2.939,3.191,2.814
Toy and Small,Female,4.5,75,12.1,1.917,1.791,2.051,2.508,2.356
Medium,Female,4.5,75,35.525,1.303,1.148,1.481,1.694,1.432
Standard,Female,4.5,75,58.675,1.621,1.477,1.779,2.140,1.947
Large,Female,4.5,75,72.725,1.954,1.785,2.139,2.553,2.349
Giant,Female,4.5,75,109.3375,1.396,1.216,1.602,1.832,1.553
Toy and Small,Male,4.5,75,15.4,3.069,2.867,3.284,3.725,3.530
Medium,Male,4.5,75,40.025,2.204,1.944,2.498,2.838,2.540
Standard,Male,4.5,75,71.5,2.888,2.629,3.172,3.550,3.291
Large,Male,4.5,75,85.375,3.498,3.191,3.835,4.123,3.841
Giant,Male,4.5,75,128.1625,2.523,2.173,2.929,3.182,2.804
Toy and Small,Female,5,75,12.2,1.906,1.773,2.050,2.496,2.334
Medium,Female,5,75,36.15,1.293,1.135,1.472,1.677,1.407
Standard,Female,5,75,58.95,1.617,1.467,1.782,2.135,1.933
Large,Female,5,75,73.85,1.953,1.776,2.147,2.551,2.337
Giant,Female,5,75,109.6,1.393,1.210,1.604,1.827,1.542
Toy and Small,Male,5,75,15.7,3.037,2.823,3.267,3.695,3.487
Medium,Male,5,75,38.45,2.224,1.956,2.528,2.861,2.555
Standard,Male,5,75,72,2.883,2.612,3.182,3.546,3.274
Large,Male,5,75,85.75,3.492,3.171,3.845,4.117,3.823
Giant,Male,5,75,126.6,2.511,2.160,2.918,3.169,2.790
Toy and Small,Female,5.5,75,12.4,1.888,1.750,2.038,2.475,2.305
Medium,Female,5.5,75,33.775,1.319,1.156,1.505,1.718,1.448
Standard,Female,5.5,75,58.475,1.611,1.457,1.781,2.127,1.920
Large,Female,5.5,75,72.8875,1.943,1.762,2.142,2.539,2.320
Giant,Female,5.5,75,108.675,1.386,1.201,1.599,1.817,1.528
Toy and Small,Male,5.5,75,15.75,3.022,2.800,3.262,3.681,3.463
Medium,Male,5.5,75,39.225,2.203,1.934,2.510,2.837,2.528
Standard,Male,5.5,75,71.875,2.872,2.594,3.179,3.535,3.256
Large,Male,5.5,75,85.875,3.480,3.151,3.843,4.106,3.803
Giant,Male,5.5,75,126.8,2.503,2.148,2.915,3.160,2.776
Toy and Small,Female,6,75,12.6,1.869,1.730,2.019,2.451,2.280
Medium,Female,6,75,31.4,1.350,1.183,1.541,1.764,1.496
Standard,Female,6,75,58,1.603,1.449,1.775,2.118,1.907
Large,Female,6,75,71.925,1.931,1.749,2.131,2.525,2.304
Giant,Female,6,75,107.75,1.377,1.194,1.590,1.805,1.514
Toy and Small,Male,6,75,15.8,3.004,2.779,3.247,3.664,3.443
Medium,Male,6,75,40,2.181,1.912,2.487,2.812,2.503
Standard,Male,6,75,71.75,2.858,2.579,3.168,3.521,3.239
Large,Male,6,75,86,3.464,3.132,3.832,4.092,3.786
Giant,Male,6,75,127,2.492,2.136,2.906,3.149,2.763
